Instance    SplitMode     OrderMode    Decrescent      Solution Quality %     Exec. Time         Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %
NGCUT05     HORIZONTALLY  HEIGHT       False                     70          7.41959e-05    7.20024e-05           5.81937e-06      70        30                14               6                8          42.8571            57.1429
NGCUT05     MAX_AREA      HEIGHT       True                      71.3333     8.71181e-05    8.34465e-05           8.22264e-06      71.3333   28.6667           14               4               10          28.5714            71.4286
NGCUT05     MAX_AREA      HEIGHT       False                     70          0.000136471    0.00013423            9.08322e-06      70        30                14               6                8          42.8571            57.1429
NGCUT05     NONE          HEIGHT       True                      78.6667     0.00029521     0.000291824           9.40881e-06      78.6667   21.3333           14               5                9          35.7143            64.2857
NGCUT05     NONE          HEIGHT       False                     70          0.000586367    0.000546217           9.9226e-05       70        30                14               6                8          42.8571            57.1429
NGCUT06     VERTICALLY    HEIGHT       True                      68          8.3065e-05     8.13007e-05           5.68137e-06      68        32                15               6                9          40                 60
NGCUT06     VERTICALLY    HEIGHT       False                     78.6667     7.37667e-05    7.10487e-05           7.2686e-06       78.6667   21.3333           15               7                8          46.6667            53.3333
NGCUT06     HORIZONTALLY  HEIGHT       True                      70.6667     8.06332e-05    7.67708e-05           6.29244e-06      70.6667   29.3333           15               7                8          46.6667            53.3333
NGCUT06     HORIZONTALLY  HEIGHT       False                     57.3333     6.69956e-05    6.41346e-05           5.64e-06         57.3333   42.6667           15               5               10          33.3333            66.6667
NGCUT06     MAX_AREA      HEIGHT       True                      70.6667     0.000170612    0.000166655           9.40905e-06      70.6667   29.3333           15               7                8          46.6667            53.3333
NGCUT06     MAX_AREA      HEIGHT       False                     57.3333     0.000119257    0.000116825           8.51845e-06      57.3333   42.6667           15               5               10          33.3333            66.6667
NGCUT06     NONE          HEIGHT       True                      70.6667     0.00153131     0.00151634            2.20185e-05      70.6667   29.3333           15               7                8          46.6667            53.3333
NGCUT06     NONE          HEIGHT       False                     73.3333     0.00110459     0.00109339            2.11981e-05      73.3333   26.6667           15               7                8          46.6667            53.3333
NGCUT07     VERTICALLY    HEIGHT       True                      20.25       6.49452e-05    6.22272e-05           6.90772e-06      20.25     79.75              8               6                2          75                 25
NGCUT07     VERTICALLY    HEIGHT       False                     20.25       6.66618e-05    6.86646e-05           9.40059e-06      20.25     79.75              8               6                2          75                 25
NGCUT07     HORIZONTALLY  HEIGHT       True                     100          7.57217e-05    7.31945e-05           5.30684e-06      43.75     56.25              8               8                0         100                  0
NGCUT07     HORIZONTALLY  HEIGHT       False                    100          7.83443e-05    7.58171e-05           8.05784e-06      43.75     56.25              8               8                0         100                  0
NGCUT07     MAX_AREA      HEIGHT       True                      33.75       0.00014863     0.000145674           9.05062e-06      33.75     66.25              8               7                1          87.5               12.5
NGCUT07     MAX_AREA      HEIGHT       False                    100          0.000166416    0.000161171           1.00113e-05      43.75     56.25              8               8                0         100                  0
NGCUT07     NONE          HEIGHT       True                     100          0.000736761    0.000733614           1.00242e-05      43.75     56.25              8               8                0         100                  0
NGCUT07     NONE          HEIGHT       False                    100          0.000749397    0.000746727           8.55308e-06      43.75     56.25              8               8                0         100                  0
NGCUT08     VERTICALLY    HEIGHT       True                      55          5.02586e-05    4.79221e-05           5.10104e-06      55        45                13               5                8          38.4615            61.5385
NGCUT08     VERTICALLY    HEIGHT       False                     39.5        6.53744e-05    6.1512e-05            7.79654e-06      39.5      60.5              13               6                7          46.1538            53.8462
NGCUT08     HORIZONTALLY  HEIGHT       True                      73          6.73294e-05    6.48499e-05           6.4955e-06       73        27                13               7                6          53.8462            46.1538
NGCUT08     HORIZONTALLY  HEIGHT       False                     58.25       7.1907e-05     6.98566e-05           5.9873e-06       58.25     41.75             13               6                7          46.1538            53.8462
NGCUT08     MAX_AREA      HEIGHT       True                      73          0.000156927    0.00014782            1.35638e-05      73        27                13               7                6          53.8462            46.1538
NGCUT08     MAX_AREA      HEIGHT       False                     58.25       0.000135422    0.00013113            9.75945e-06      58.25     41.75             13               6                7          46.1538            53.8462
NGCUT08     NONE          HEIGHT       True                      73          0.000669289    0.000665426           7.28079e-06      73        27                13               7                6          53.8462            46.1538
NGCUT08     NONE          HEIGHT       False                     58.25       0.00193605     0.00189948            9.70054e-05      58.25     41.75             13               6                7          46.1538            53.8462
NGCUT09     VERTICALLY    HEIGHT       True                      55.5        7.84397e-05    7.60555e-05           6.2391e-06       55.5      44.5              18               6               12          33.3333            66.6667
NGCUT09     VERTICALLY    HEIGHT       False                     57          9.59873e-05    9.13143e-05           1.00074e-05      57        43                18               9                9          50                 50
NGCUT09     HORIZONTALLY  HEIGHT       True                      72          6.99043e-05    6.7234e-05            6.65252e-06      72        28                18               7               11          38.8889            61.1111
NGCUT09     HORIZONTALLY  HEIGHT       False                     74          7.16686e-05    6.84261e-05           6.7647e-06       74        26                18               6               12          33.3333            66.6667
NGCUT09     MAX_AREA      HEIGHT       True                      55.5        0.000143385    0.000141144           8.45173e-06      55.5      44.5              18               6               12          33.3333            66.6667
NGCUT09     MAX_AREA      HEIGHT       False                     74          0.00013566     0.000133991           1.06816e-05      74        26                18               6               12          33.3333            66.6667
NGCUT09     NONE          HEIGHT       True                      72          0.00123024     0.00122309            1.49068e-05      72        28                18               7               11          38.8889            61.1111
NGCUT09     NONE          HEIGHT       False                     80.5        0.00324054     0.00319219            0.000106687      80.5      19.5              18              10                8          55.5556            44.4444
NGCUT10     VERTICALLY    HEIGHT       True                      91          4.15325e-05    3.98159e-05           4.6657e-06       91         9                13               6                7          46.1538            53.8462
NGCUT10     VERTICALLY    HEIGHT       False                     39.4444     3.51906e-05    3.31402e-05           5.13481e-06      39.4444   60.5556           13               4                9          30.7692            69.2308
NGCUT10     HORIZONTALLY  HEIGHT       True                      91          4.03881e-05    3.8147e-05            4.65643e-06      91         9                13               6                7          46.1538            53.8462
NGCUT10     HORIZONTALLY  HEIGHT       False                     79.8889     5.3978e-05     5.17368e-05           5.29397e-06      79.8889   20.1111           13               6                7          46.1538            53.8462
NGCUT10     MAX_AREA      HEIGHT       True                      91          9.6941e-05     9.36985e-05           6.98627e-06      91         9                13               6                7          46.1538            53.8462
NGCUT10     MAX_AREA      HEIGHT       False                     79.8889     0.000114059    0.00011158            6.86811e-06      79.8889   20.1111           13               6                7          46.1538            53.8462
NGCUT10     NONE          HEIGHT       True                      91          0.000398493    0.000397444           5.04772e-06      91         9                13               6                7          46.1538            53.8462
NGCUT10     NONE          HEIGHT       False                     79.8889     0.000414515    0.000409365           1.28778e-05      79.8889   20.1111           13               6                7          46.1538            53.8462
NGCUT11     VERTICALLY    HEIGHT       True                      75.4444     7.72953e-05    7.48634e-05           5.97361e-06      75.4444   24.5556           15               6                9          40                 60
NGCUT11     VERTICALLY    HEIGHT       False                     45.8889     8.49724e-05    8.24928e-05           6.44101e-06      45.8889   54.1111           15               8                7          53.3333            46.6667
NGCUT11     HORIZONTALLY  HEIGHT       True                      86.3333     7.10964e-05    6.86646e-05           6.38214e-06      86.3333   13.6667           15               7                8          46.6667            53.3333
NGCUT11     HORIZONTALLY  HEIGHT       False                     60.7778     9.63688e-05    9.46522e-05           5.49791e-06      60.7778   39.2222           15               8                7          53.3333            46.6667
NGCUT11     MAX_AREA      HEIGHT       True                      83.2222     0.000133038    0.000130177           7.48498e-06      83.2222   16.7778           15               6                9          40                 60
NGCUT11     MAX_AREA      HEIGHT       False                     60.7778     0.000178909    0.000177145           9.36545e-06      60.7778   39.2222           15               8                7          53.3333            46.6667
NGCUT11     NONE          HEIGHT       True                      87.6667     0.00318589     0.00318336            1.94638e-05      87.6667   12.3333           15               7                8          46.6667            53.3333
NGCUT11     NONE          HEIGHT       False                     60.7778     0.00260434     0.00260162            1.04618e-05      60.7778   39.2222           15               8                7          53.3333            46.6667
NGCUT12     VERTICALLY    HEIGHT       True                      84.3333     8.41141e-05    8.15392e-05           6.42829e-06      84.3333   15.6667           22               9               13          40.9091            59.0909
NGCUT12     VERTICALLY    HEIGHT       False                     48.6667     9.60827e-05    9.39369e-05           5.60765e-06      48.6667   51.3333           22               9               13          40.9091            59.0909
NGCUT12     HORIZONTALLY  HEIGHT       True                      84.3333     7.47204e-05    7.12872e-05           5.53953e-06      84.3333   15.6667           22               9               13          40.9091            59.0909
NGCUT12     HORIZONTALLY  HEIGHT       False                     53.3333     0.000135565    0.00013113            7.50106e-06      53.3333   46.6667           22              10               12          45.4545            54.5455
NGCUT12     MAX_AREA      HEIGHT       True                      84.3333     0.000176334    0.000171661           9.74266e-06      84.3333   15.6667           22               9               13          40.9091            59.0909
NGCUT12     MAX_AREA      HEIGHT       False                     53.3333     0.000241232    0.000238419           1.05233e-05      53.3333   46.6667           22              10               12          45.4545            54.5455
NGCUT12     NONE          HEIGHT       True                      84.3333     0.000932407    0.000927687           1.28493e-05      84.3333   15.6667           22               9               13          40.9091            59.0909
NGCUT12     NONE          HEIGHT       False                     53.3333     0.008707       0.00871396            3.78254e-05      53.3333   46.6667           22              10               12          45.4545            54.5455
BKW01       VERTICALLY    HEIGHT       True                      60          9.05037e-05    8.79765e-05           5.93198e-06      60        40                10               9                1          90                 10
BKW01       VERTICALLY    HEIGHT       False                     24          8.14438e-05    7.9155e-05            5.59466e-06      24        76                10               8                2          80                 20
BKW01       HORIZONTALLY  HEIGHT       True                     100          6.99997e-05    6.81877e-05           6.17057e-06     100         0                10              10                0         100                  0
BKW01       HORIZONTALLY  HEIGHT       False                     12.75       7.07626e-05    7.00951e-05           4.719e-06        12.75     87.25             10               6                4          60                 40
BKW01       MAX_AREA      HEIGHT       True                      98.75       0.000157166    0.000152588           1.08037e-05      98.75      1.25             10               9                1          90                 10
BKW01       MAX_AREA      HEIGHT       False                     60          0.000189638    0.000184536           1.21744e-05      60        40                10               9                1          90                 10
BKW01       NONE          HEIGHT       True                      60          0.00129995     0.00130773            1.97612e-05      60        40                10               9                1          90                 10
BKW01       NONE          HEIGHT       False                     60          0.00190244     0.00180435            0.000206337      60        40                10               9                1          90                 10
BKW02       VERTICALLY    HEIGHT       True                      57.2667     0.000154543    0.000150919           9.1304e-06       57.2667   42.7333           20              13                7          65                 35
BKW02       VERTICALLY    HEIGHT       False                     34.2        0.00014596     0.000140429           7.67308e-06      34.2      65.8              20              13                7          65                 35
BKW02       HORIZONTALLY  HEIGHT       True                      82.5333     0.00019927     0.000187159           2.02952e-05      82.5333   17.4667           20              16                4          80                 20
BKW02       HORIZONTALLY  HEIGHT       False                     47.4667     0.000169945    0.000165224           9.0315e-06       47.4667   52.5333           20              14                6          70                 30
BKW02       MAX_AREA      HEIGHT       True                      68.2        0.000350428    0.00034523            1.42704e-05      68.2      31.8              20              16                4          80                 20
BKW02       MAX_AREA      HEIGHT       False                     49.3333     0.000337648    0.00033164            1.05266e-05      49.3333   50.6667           20              15                5          75                 25
BKW02       NONE          HEIGHT       True                      82          0.00732751     0.00731683            4.43831e-05      82        18                20              17                3          85                 15
BKW02       NONE          HEIGHT       False                     59.1333     0.0150655      0.0151417             0.00167501       59.1333   40.8667           20              17                3          85                 15
BKW03       VERTICALLY    HEIGHT       True                      75.4667     0.000232983    0.000226498           1.09998e-05      75.4667   24.5333           30              22                8          73.3333            26.6667
BKW03       VERTICALLY    HEIGHT       False                     55.3333     0.000254726    0.000249147           1.4165e-05       55.3333   44.6667           30              25                5          83.3333            16.6667
BKW03       HORIZONTALLY  HEIGHT       True                      83.0667     0.000340605    0.000336647           8.54803e-06      83.0667   16.9333           30              25                5          83.3333            16.6667
BKW03       HORIZONTALLY  HEIGHT       False                     20.2        0.00024662     0.000240564           1.04422e-05      20.2      79.8              30              17               13          56.6667            43.3333
BKW03       MAX_AREA      HEIGHT       True                      90.4        0.000539398    0.000532389           2.19177e-05      90.4       9.6              30              25                5          83.3333            16.6667
BKW03       MAX_AREA      HEIGHT       False                     38.1333     0.000535774    0.00053072            2.63093e-05      38.1333   61.8667           30              22                8          73.3333            26.6667
BKW03       NONE          HEIGHT       True                      89.7333     0.0259913      0.0258443             0.000273539      89.7333   10.2667           30              25                5          83.3333            16.6667
BKW03       NONE          HEIGHT       False                     51.4667     0.0534011      0.0530753             0.000641138      51.4667   48.5333           30              24                6          80                 20
BKW04       VERTICALLY    HEIGHT       True                      88.4375     0.000381422    0.00037837            8.31312e-06      88.4375   11.5625           40              32                8          80                 20
BKW04       VERTICALLY    HEIGHT       False                     48.2812     0.000416327    0.000407219           1.60924e-05      48.2812   51.7188           40              38                2          95                  5
BKW04       HORIZONTALLY  HEIGHT       True                      74.6094     0.000433826    0.000431299           1.1628e-05       74.6094   25.3906           40              36                4          90                 10
BKW04       HORIZONTALLY  HEIGHT       False                     17.5625     0.000416327    0.000411272           1.61952e-05      17.5625   82.4375           40              26               14          65                 35
BKW04       MAX_AREA      HEIGHT       True                      92.7969     0.000802946    0.000799894           2.70999e-05      92.7969    7.20312          40              36                4          90                 10
BKW04       MAX_AREA      HEIGHT       False                     49.3125     0.000779629    0.000779867           1.82368e-05      49.3125   50.6875           40              36                4          90                 10
BKW04       NONE          HEIGHT       True                      94          0.0527213      0.0527265             7.94933e-05      94         6                40              37                3          92.5                7.5
BKW04       NONE          HEIGHT       False                     58.1562     0.103932       0.102144              0.00370686       58.1562   41.8438           40              38                2          95                  5
BKW05       VERTICALLY    HEIGHT       True                      55.1        0.000506878    0.000507832           1.17257e-05      55.1      44.9              50              32               18          64                 36
BKW05       VERTICALLY    HEIGHT       False                     30.83       0.000480604    0.000478029           1.25213e-05      30.83     69.17             50              34               16          68                 32
BKW05       HORIZONTALLY  HEIGHT       True                      77.42       0.000626516    0.000621319           1.44509e-05      77.42     22.58             50              42                8          84                 16
BKW05       HORIZONTALLY  HEIGHT       False                     25.08       0.000349712    0.000347137           1.46765e-05      25.08     74.92             50              23               27          46                 54
BKW05       MAX_AREA      HEIGHT       True                      80.48       0.00121603     0.0012095             2.87563e-05      80.48     19.52             50              45                5          90                 10
BKW05       MAX_AREA      HEIGHT       False                     44.77       0.0010118      0.00100923            2.08925e-05      44.77     55.23             50              37               13          74                 26
BKW05       NONE          HEIGHT       True                      80.48       0.201295       0.188862              0.0227721        80.48     19.52             50              45                5          90                 10
BKW05       NONE          HEIGHT       False                     62.59       0.288999       0.294411              0.0135754        62.59     37.41             50              46                4          92                  8
BKW06       VERTICALLY    HEIGHT       True                      69.38       0.000612926    0.000606298           1.54736e-05      69.38     30.62             60              52                8          86.6667            13.3333
BKW06       VERTICALLY    HEIGHT       False                     33.86       0.000483036    0.000478745           1.11043e-05      33.86     66.14             60              51                9          85                 15
BKW06       HORIZONTALLY  HEIGHT       True                      81.6        0.000984097    0.000980377           1.22581e-05      81.6      18.4              60              56                4          93.3333             6.66667
BKW06       HORIZONTALLY  HEIGHT       False                     22.88       0.000653267    0.000647545           1.63584e-05      22.88     77.12             60              39               21          65                 35
BKW06       MAX_AREA      HEIGHT       True                      72.5        0.0014461      0.00143838            2.88755e-05      72.5      27.5              60              55                5          91.6667             8.33333
BKW06       MAX_AREA      HEIGHT       False                     28.52       0.00129929     0.00129318            2.04866e-05      28.52     71.48             60              48               12          80                 20
BKW06       NONE          HEIGHT       True                      72.5        0.168962       0.168763              0.0011633        72.5      27.5              60              55                5          91.6667             8.33333
BKW06       NONE          HEIGHT       False                     57.88       0.367675       0.366079              0.00461631       57.88     42.12             60              55                5          91.6667             8.33333
BKW07       VERTICALLY    HEIGHT       True                      67.8        0.000747824    0.000749111           9.41026e-06      67.8      32.2              70              57               13          81.4286            18.5714
BKW07       VERTICALLY    HEIGHT       False                     42.0875     0.000708628    0.000706196           1.09811e-05      42.0875   57.9125           70              61                9          87.1429            12.8571
BKW07       HORIZONTALLY  HEIGHT       True                      86.1        0.000823164    0.000810623           2.65713e-05      86.1      13.9              70              67                3          95.7143             4.28571
BKW07       HORIZONTALLY  HEIGHT       False                      6.75       0.00078702     0.000784874           1.02459e-05       6.75     93.25             70              41               29          58.5714            41.4286
BKW07       MAX_AREA      HEIGHT       True                      82.35       0.00155249     0.00154901            2.88896e-05      82.35     17.65             70              67                3          95.7143             4.28571
BKW07       MAX_AREA      HEIGHT       False                     38.9        0.00141234     0.00139666            4.68822e-05      38.9      61.1              70              57               13          81.4286            18.5714
BKW07       NONE          HEIGHT       True                      82.35       0.256859       0.23953               0.0373486        82.35     17.65             70              67                3          95.7143             4.28571
BKW07       NONE          HEIGHT       False                     56.6875     0.54043        0.531277              0.0200449        56.6875   43.3125           70              62                8          88.5714            11.4286
BKW08       VERTICALLY    HEIGHT       True                      70.2375     0.000971889    0.000964403           1.61546e-05      70.2375   29.7625           80              64               16          80                 20
BKW08       VERTICALLY    HEIGHT       False                     57.675      0.000934029    0.00091815            2.20995e-05      57.675    42.325            80              74                6          92.5                7.5
BKW08       HORIZONTALLY  HEIGHT       True                      83.3125     0.00184498     0.00189686            0.00010716       83.3125   16.6875           80              72                8          90                 10
BKW08       HORIZONTALLY  HEIGHT       False                     10.95       0.000646305    0.000627518           4.3917e-05       10.95     89.05             80              28               52          35                 65
BKW08       MAX_AREA      HEIGHT       True                      91.7        0.0022449      0.00210428            0.000341301      91.7       8.3              80              71                9          88.75              11.25
BKW08       MAX_AREA      HEIGHT       False                     39.875      0.00203371     0.00202489            3.82904e-05      39.875    60.125            80              65               15          81.25              18.75
BKW08       NONE          HEIGHT       True                      91.0375     0.723944       0.699567              0.0737567        91.0375    8.9625           80              71                9          88.75              11.25
BKW08       NONE          HEIGHT       False                     53          1.08041        1.04636               0.0855424        53        47                80              68               12          85                 15
BKW09       VERTICALLY    HEIGHT       True                      50.7067     0.000925303    0.000919342           1.55298e-05      50.7067   49.2933          100              82               18          82                 18
BKW09       VERTICALLY    HEIGHT       False                     34.3467     0.00079546     0.000781775           2.18023e-05      34.3467   65.6533          100              83               17          83                 17
BKW09       HORIZONTALLY  HEIGHT       True                      83.4533     0.00154905     0.00154042            1.47252e-05      83.4533   16.5467          100              94                6          94                  6
BKW09       HORIZONTALLY  HEIGHT       False                     14.6933     0.00117717     0.00117731            1.33187e-05      14.6933   85.3067          100              49               51          49                 51
BKW09       MAX_AREA      HEIGHT       True                      86.1733     0.00248289     0.00243378            8.96039e-05      86.1733   13.8267          100              94                6          94                  6
BKW09       MAX_AREA      HEIGHT       False                     27.4533     0.00235658     0.00233531            4.10156e-05      27.4533   72.5467          100              77               23          77                 23
BKW09       NONE          HEIGHT       True                      85.2133     1.33373        1.31753               0.0255806        85.2133   14.7867          100              93                7          93                  7
BKW09       NONE          HEIGHT       False                     54.28       2.03874        2.00198               0.0983239        54.28     45.72            100              94                6          94                  6
BKW10       VERTICALLY    HEIGHT       True                      50.9905     0.00262079     0.00277662            0.000237744      50.9905   49.0095          200             170               30          85                 15
BKW10       VERTICALLY    HEIGHT       False                     24.3048     0.001685       0.00168204            3.1704e-05       24.3048   75.6952          200             172               28          86                 14
BKW10       HORIZONTALLY  HEIGHT       True                      77.0952     0.00342865     0.00334215            0.000150951      77.0952   22.9048          200             187               13          93.5                6.5
BKW10       HORIZONTALLY  HEIGHT       False                      9.88571    0.00308723     0.00299668            0.000154363       9.88571  90.1143          200             103               97          51.5               48.5
BKW10       MAX_AREA      HEIGHT       True                      72.2952     0.00631909     0.00626922            0.000196956      72.2952   27.7048          200             195                5          97.5                2.5
BKW10       MAX_AREA      HEIGHT       False                     30.581      0.00530767     0.0052464             0.000272939      30.581    69.419           200             181               19          90.5                9.5
BKW10       NONE          HEIGHT       True                      77.8952     9.24358        9.17076               0.139548         77.8952   22.1048          200             189               11          94.5                5.5
BKW10       NONE          HEIGHT       False                     48.5905    12.5673        12.4923                0.111278         48.5905   51.4095          200             195                5          97.5                2.5
BKW11       VERTICALLY    HEIGHT       True                      56.7238     0.0037015      0.00369453            0.000117763      56.7238   43.2762          300             260               40          86.6667            13.3333
BKW11       VERTICALLY    HEIGHT       False                     35.7524     0.00295582     0.00294209            4.1865e-05       35.7524   64.2476          300             258               42          86                 14
BKW11       HORIZONTALLY  HEIGHT       True                      82.181      0.00638766     0.00634146            9.65262e-05      82.181    17.819           300             285               15          95                  5
BKW11       HORIZONTALLY  HEIGHT       False                     10.781      0.00445347     0.00443101            7.08187e-05      10.781    89.219           300             106              194          35.3333            64.6667
BKW11       MAX_AREA      HEIGHT       True                      82.2571     0.0117291      0.0118091             0.000205434      82.2571   17.7429          300             286               14          95.3333             4.66667
BKW11       MAX_AREA      HEIGHT       False                     27.8762     0.00975714     0.00966811            0.000222426      27.8762   72.1238          300             226               74          75.3333            24.6667
BKW11       NONE          HEIGHT       True                      83.381     37.1351        37.0777                0.289634         83.381    16.619           300             289               11          96.3333             3.66667
BKW11       NONE          HEIGHT       False                     58.0381    52.7709        52.8238                0.323855         58.0381   41.9619          300             280               20          93.3333             6.66667
BKW12       VERTICALLY    HEIGHT       True                      74.5833     0.00960941     0.00956845            6.21497e-05      74.5833   25.4167          500             450               50          90                 10
BKW12       VERTICALLY    HEIGHT       False                     50.2133     0.00568471     0.00564098            7.79123e-05      50.2133   49.7867          500             465               35          93                  7
BKW12       HORIZONTALLY  HEIGHT       True                      86.9067     0.0201834      0.0196266             0.000854535      86.9067   13.0933          500             462               38          92.4                7.6
BKW12       HORIZONTALLY  HEIGHT       False                      8.55       0.00937614     0.00937343            6.45511e-05       8.55     91.45            500             183              317          36.6               63.4
BKW12       MAX_AREA      HEIGHT       True                      88.0967     0.036373       0.0282135             0.0165791        88.0967   11.9033          500             486               14          97.2                2.8
BKW12       MAX_AREA      HEIGHT       False                     24.49       0.0216557      0.0216272             6.53477e-05      24.49     75.51            500             394              106          78.8               21.2
BKW12       NONE          HEIGHT       True                      90.05     230.05         229.889                 0.420206         90.05      9.95            500             485               15          97                  3
BKW12       NONE          HEIGHT       False                     65.8767   302.29         304.626                 5.96809          65.8767   34.1233          500             486               14          97.2                2.8
